group	name	id	model_size	seed	min_steps	max_steps	total_steps	selected
pythia-70m_wucvdjde	ip-10-0-222-35-0	7c9hxzw9	70m	7	257	16437	16181	False
pythia-70m_q10tcnzl	ip-10-0-195-235-0	047975e1	70m	7	16001	143000	127000	False
pythia-70m_g3mgiqz4	ip-10-0-253-221-0	pa320myh	70m	7	106001	107963	1963	False
pythia-70m_uefyg0m8	ip-10-0-248-222-0	t8skemhf	70m	7	107001	108637	1637	False
pythia-70m_vbaiv9x5	ip-10-0-248-222-0	sqadv8h2	70m	7	108001	108120	120	False
pythia-70m_vgz1sg3b	ip-10-0-248-222-0	7b6prevw	70m	7	108001	108184	184	False
pythia-70m_9729hi5x	ip-10-0-248-222-0	x1s89nqk	70m	7	108001	108300	300	False
pythia-70m_fwg858u1	ip-10-0-248-222-0	ioopbvmm	70m	7	108001	108909	909	False
pythia-70m_0dw5b8lt	ip-10-0-248-222-0	nsfjge3q	70m	7	108001	111295	3295	False
pythia-70m_12ozmo5c	ip-10-0-241-124-0	sjrt0303	70m	7	111001	143000	32000	False
pythia-70m_mrw76sat	ip-10-0-193-57-0	l8dc8vuq	70m	8	1	15	15	False
pythia-70m_ybdht4te	ip-10-0-243-103-0	jasad5fm	70m	8	1	11538	11538	False
pythia-70m_9p88sksc	ip-10-0-228-209-0	minuar8w	70m	8	17	43493	43477	False
pythia-70m_zmigoner	ip-10-0-251-175-0	5nfajvpw	70m	8	11001	143000	132000	False
pythia-70m_kp2hrl51	ip-10-0-193-57-0	1in9plsp	70m	8	43001	43011	11	False
pythia-70m_f5agu3sy	ip-10-0-228-209-0	3qmbwmti	70m	8	43001	43300	300	False
pythia-70m_nst0l0ku	ip-10-0-201-106-0	9ugck98l	70m	8	43001	143000	100000	False
pythia-70m_qeyx8no0	ip-10-0-228-32-0	qtv9ujq1	70m	9	1	137755	137755	False
pythia-70m_cat910n6	ip-10-0-231-1-0	l2ui5xws	70m	9	1	143000	143000	True
pythia-70m_o45uuuzk	ip-10-0-204-193-0	ckblz0rt	70m	9	137001	143000	6000	False
