"Step","Group: pythia-70m_rk7ayzq3 - train/lm_loss","Group: pythia-70m_rk7ayzq3 - train/lm_loss__MIN","Group: pythia-70m_rk7ayzq3 - train/lm_loss__MAX"
"95032","2.8852531909942627","2.8852531909942627","2.8852531909942627"
"95033","2.7985177040100098","2.7985177040100098","2.7985177040100098"
"95034","2.894280433654785","2.894280433654785","2.894280433654785"
"95035","2.8649702072143555","2.8649702072143555","2.8649702072143555"
"95036","2.8842225074768066","2.8842225074768066","2.8842225074768066"
"95037","2.8711302280426025","2.8711302280426025","2.8711302280426025"
"95038","2.942074775695801","2.942074775695801","2.942074775695801"
"95039","2.861943244934082","2.861943244934082","2.861943244934082"
"95040","2.8950979709625244","2.8950979709625244","2.8950979709625244"
"95041","2.8468785285949707","2.8468785285949707","2.8468785285949707"
"95042","2.8582241535186768","2.8582241535186768","2.8582241535186768"
"95043","2.898362159729004","2.898362159729004","2.898362159729004"
"95044","2.9091086387634277","2.9091086387634277","2.9091086387634277"
"95045","2.883129596710205","2.883129596710205","2.883129596710205"
"95046","2.862651824951172","2.862651824951172","2.862651824951172"
"95047","2.872091770172119","2.872091770172119","2.872091770172119"
"95048","2.907801628112793","2.907801628112793","2.907801628112793"
"95049","2.888516902923584","2.888516902923584","2.888516902923584"
"95050","2.9122555255889893","2.9122555255889893","2.9122555255889893"
"95051","2.8574986457824707","2.8574986457824707","2.8574986457824707"
"95052","2.844033718109131","2.844033718109131","2.844033718109131"
"95053","2.88299560546875","2.88299560546875","2.88299560546875"
"95054","2.87467885017395","2.87467885017395","2.87467885017395"
"95055","2.836812734603882","2.836812734603882","2.836812734603882"
"95056","2.88755464553833","2.88755464553833","2.88755464553833"
"95057","2.8946518898010254","2.8946518898010254","2.8946518898010254"
"95058","2.8910341262817383","2.8910341262817383","2.8910341262817383"
"95059","2.863285541534424","2.863285541534424","2.863285541534424"
"95060","2.8717594146728516","2.8717594146728516","2.8717594146728516"
"95061","2.8688831329345703","2.8688831329345703","2.8688831329345703"
"95062","2.8521077632904053","2.8521077632904053","2.8521077632904053"
"95063","2.870002269744873","2.870002269744873","2.870002269744873"
"95064","2.8329129219055176","2.8329129219055176","2.8329129219055176"
"95065","2.835221290588379","2.835221290588379","2.835221290588379"
"95066","2.9002342224121094","2.9002342224121094","2.9002342224121094"
"95067","2.875314712524414","2.875314712524414","2.875314712524414"
"95068","2.860879898071289","2.860879898071289","2.860879898071289"
"95069","2.8640623092651367","2.8640623092651367","2.8640623092651367"
"95070","2.8825151920318604","2.8825151920318604","2.8825151920318604"
"95071","2.880232572555542","2.880232572555542","2.880232572555542"
"95072","2.870236873626709","2.870236873626709","2.870236873626709"
"95073","2.900571346282959","2.900571346282959","2.900571346282959"
"95074","2.931058406829834","2.931058406829834","2.931058406829834"
"95075","2.872892379760742","2.872892379760742","2.872892379760742"
"95076","2.8690507411956787","2.8690507411956787","2.8690507411956787"
"95077","2.874648094177246","2.874648094177246","2.874648094177246"
"95078","2.8812263011932373","2.8812263011932373","2.8812263011932373"
"95079","2.890862464904785","2.890862464904785","2.890862464904785"
"95080","2.901672601699829","2.901672601699829","2.901672601699829"
"95081","2.828207492828369","2.828207492828369","2.828207492828369"
"95082","2.879103899002075","2.879103899002075","2.879103899002075"
"95083","2.854377269744873","2.854377269744873","2.854377269744873"
"95084","2.903371572494507","2.903371572494507","2.903371572494507"
"95085","2.883132219314575","2.883132219314575","2.883132219314575"
"95086","2.862666130065918","2.862666130065918","2.862666130065918"
"95087","2.874589443206787","2.874589443206787","2.874589443206787"
"95088","2.896371364593506","2.896371364593506","2.896371364593506"
"95089","2.881467342376709","2.881467342376709","2.881467342376709"
"95090","2.8856725692749023","2.8856725692749023","2.8856725692749023"
"95091","2.9444026947021484","2.9444026947021484","2.9444026947021484"
"95092","2.920131206512451","2.920131206512451","2.920131206512451"
"95093","2.893660068511963","2.893660068511963","2.893660068511963"
"95094","2.9163286685943604","2.9163286685943604","2.9163286685943604"
"95095","2.873814344406128","2.873814344406128","2.873814344406128"
"95096","2.9114928245544434","2.9114928245544434","2.9114928245544434"
"95097","2.8676562309265137","2.8676562309265137","2.8676562309265137"
"95098","2.9320571422576904","2.9320571422576904","2.9320571422576904"
"95099","2.87394118309021","2.87394118309021","2.87394118309021"
"95100","2.86771297454834","2.86771297454834","2.86771297454834"
"95101","2.9104177951812744","2.9104177951812744","2.9104177951812744"
"95102","2.896587610244751","2.896587610244751","2.896587610244751"
